sample_index,timestamp_epoch,timestamp_iso,I1,I2,I3
1,1776406975.620686,2026-04-17T06:22:55.620686+00:00,1.456000,1.474000,1.424000
2,1776406976.642484,2026-04-17T06:22:56.642484+00:00,1.464000,1.482000,1.425000
3,1776406977.664208,2026-04-17T06:22:57.664208+00:00,1.455000,1.481000,1.428000
4,1776406978.686110,2026-04-17T06:22:58.686110+00:00,1.464000,1.475000,1.435000
5,1776406979.708037,2026-04-17T06:22:59.708037+00:00,1.456000,1.475000,1.435000
6,1776406980.729842,2026-04-17T06:23:00.729842+00:00,1.470000,1.471000,1.435000
7,1776406982.262487,2026-04-17T06:23:02.262487+00:00,1.464000,1.483000,1.434000
8,1776406983.795253,2026-04-17T06:23:03.795253+00:00,1.471000,1.472000,1.427000
9,1776406985.328199,2026-04-17T06:23:05.328199+00:00,1.474000,1.481000,1.424000
10,1776406986.350288,2026-04-17T06:23:06.350288+00:00,1.469000,1.485000,1.423000
11,1776406987.372253,2026-04-17T06:23:07.372253+00:00,1.475000,1.478000,1.426000
12,1776406988.394199,2026-04-17T06:23:08.394199+00:00,1.467000,1.473000,1.428000
13,1776406989.416050,2026-04-17T06:23:09.416050+00:00,1.470000,1.468000,1.432000
14,1776406990.438114,2026-04-17T06:23:10.438114+00:00,1.469000,1.475000,1.435000
15,1776406991.459903,2026-04-17T06:23:11.459903+00:00,1.470000,1.470000,1.435000
16,1776406992.481807,2026-04-17T06:23:12.481807+00:00,1.469000,1.476000,1.434000
17,1776406993.503732,2026-04-17T06:23:13.503732+00:00,1.472000,1.476000,1.432000
18,1776406994.525632,2026-04-17T06:23:14.525632+00:00,1.468000,1.474000,1.431000
19,1776406995.036548,2026-04-17T06:23:15.036548+00:00,1.469000,9.000000,1.427000
20,1776406995.547576,2026-04-17T06:23:15.547576+00:00,1.464000,75.000000,1.426000
21,1776406996.058422,2026-04-17T06:23:16.058422+00:00,1.468000,469.000000,1.423000
22,1776406996.569419,2026-04-17T06:23:16.569419+00:00,1.473000,1.475000,1.421000
23,1776406997.080391,2026-04-17T06:23:17.080391+00:00,1.465000,1.472000,1.421000
24,1776406997.591223,2026-04-17T06:23:17.591223+00:00,1.460000,1.471000,1.420000
25,1776406998.102151,2026-04-17T06:23:18.102151+00:00,1.463000,1.477000,1.421000
26,1776406998.613082,2026-04-17T06:23:18.613082+00:00,1.466000,1.478000,1.422000
27,1776406999.124014,2026-04-17T06:23:19.124014+00:00,1.464000,1.474000,1.426000
28,1776406999.634939,2026-04-17T06:23:19.634939+00:00,1.461000,1.472000,1.428000
29,1776407000.145838,2026-04-17T06:23:20.145838+00:00,1.466000,1.473000,1.432000
30,1776407000.656769,2026-04-17T06:23:20.656769+00:00,1.467000,1.474000,1.430000
31,1776407001.167669,2026-04-17T06:23:21.167669+00:00,1.462000,1.472000,1.433000
32,1776407001.678560,2026-04-17T06:23:21.678560+00:00,1.459000,1.476000,1.431000
33,1776407002.189513,2026-04-17T06:23:22.189513+00:00,1.463000,1.478000,1.436000
34,1776407002.700379,2026-04-17T06:23:22.700379+00:00,1.467000,1.468000,1.429000
35,1776407003.211390,2026-04-17T06:23:23.211390+00:00,1.464000,1.479000,1.431000
36,1776407003.722382,2026-04-17T06:23:23.722382+00:00,1.460000,1.470000,1.432000
37,1776407004.233357,2026-04-17T06:23:24.233357+00:00,1.463000,1.479000,1.432000
38,1776407004.744285,2026-04-17T06:23:24.744285+00:00,1.468000,1.480000,1.432000
39,1776407005.255218,2026-04-17T06:23:25.255218+00:00,1.462000,1.479000,1.431000
