sample_index,t_seconds,raw1,v1,i1,raw2,v2,i2,raw3,v3,i3
0,0.000023,2759645,1.644877,0.008210,2597635,1.548311,-0.003021,3268024,1.947894,-0.018739
1,0.000727,2759692,1.644905,0.008257,2597587,1.548283,-0.003072,3267905,1.947823,-0.018849
2,0.001431,2759632,1.644869,0.008197,2597553,1.548262,-0.003108,3267914,1.947829,-0.018841
3,0.002134,2759603,1.644852,0.008168,2597567,1.548271,-0.003093,3267769,1.947742,-0.018975
4,0.002838,2759683,1.644899,0.008248,2597503,1.548233,-0.003162,3267926,1.947836,-0.018830
5,0.003542,2759628,1.644867,0.008193,2597577,1.548277,-0.003083,3267976,1.947866,-0.018784
6,0.004246,2759599,1.644849,0.008164,2597722,1.548363,-0.002928,3267957,1.947854,-0.018801
7,0.004950,2759727,1.644926,0.008292,2597558,1.548265,-0.003103,3268081,1.947928,-0.018687
8,0.005654,2759780,1.644957,0.008346,2597786,1.548401,-0.002860,3268057,1.947914,-0.018709
9,0.006358,2759820,1.644981,0.008386,2597720,1.548362,-0.002930,3268180,1.947987,-0.018595
10,0.007061,2759842,1.644994,0.008408,2597745,1.548377,-0.002904,3268061,1.947916,-0.018705
11,0.007765,2759683,1.644899,0.008248,2597733,1.548370,-0.002916,3267768,1.947742,-0.018976
12,0.008469,2759581,1.644839,0.008146,2597572,1.548274,-0.003088,3267841,1.947785,-0.018908
13,0.009173,2759528,1.644807,0.008093,2597590,1.548284,-0.003069,3267851,1.947791,-0.018899
14,0.009877,2759567,1.644830,0.008132,2597653,1.548322,-0.003002,3267765,1.947740,-0.018978
15,0.010581,2759601,1.644851,0.008166,2597668,1.548331,-0.002986,3267744,1.947727,-0.018998
16,0.011285,2759453,1.644762,0.008017,2597439,1.548194,-0.003230,3267570,1.947624,-0.019158
17,0.011988,2759486,1.644782,0.008051,2597442,1.548196,-0.003227,3267520,1.947594,-0.019204
18,0.012692,2759504,1.644793,0.008069,2597301,1.548112,-0.003377,3267433,1.947542,-0.019285
19,0.013396,2759414,1.644739,0.007978,2597481,1.548220,-0.003185,3267446,1.947550,-0.019273
20,0.014100,2759256,1.644645,0.007820,2597322,1.548125,-0.003355,3267363,1.947500,-0.019349
21,0.014804,2759311,1.644678,0.007875,2597294,1.548108,-0.003385,3267151,1.947374,-0.019545
22,0.015508,2759259,1.644647,0.007823,2597413,1.548179,-0.003258,3267507,1.947586,-0.019216
23,0.016212,2759514,1.644799,0.008079,2597533,1.548251,-0.003130,3267637,1.947664,-0.019097
24,0.016916,2759549,1.644820,0.008114,2597743,1.548376,-0.002906,3267559,1.947617,-0.019168
25,0.017619,2759672,1.644893,0.008237,2597718,1.548361,-0.002932,3267802,1.947762,-0.018944
