sample_index,t_seconds,raw,voltage_v,current_a
0,0.000134,0,0.000000,-13.513514
1,0.000220,0,0.000000,-13.513514
2,0.000275,0,0.000000,-13.513514
3,0.000321,0,0.000000,-13.513514
4,0.000365,0,0.000000,-13.513514
5,0.000409,0,0.000000,-13.513514
6,0.000453,0,0.000000,-13.513514
7,0.000495,0,0.000000,-13.513514
8,0.000540,0,0.000000,-13.513514
9,0.000583,0,0.000000,-13.513514
10,0.000626,0,0.000000,-13.513514
11,0.000669,0,0.000000,-13.513514
12,0.000713,0,0.000000,-13.513514
13,0.000755,0,0.000000,-13.513514
14,0.000798,0,0.000000,-13.513514
15,0.000841,0,0.000000,-13.513514
16,0.000884,0,0.000000,-13.513514
17,0.000927,0,0.000000,-13.513514
18,0.000969,0,0.000000,-13.513514
19,0.001013,0,0.000000,-13.513514
20,0.001056,0,0.000000,-13.513514
21,0.001099,0,0.000000,-13.513514
22,0.001142,0,0.000000,-13.513514
23,0.001185,0,0.000000,-13.513514
24,0.001228,0,0.000000,-13.513514
25,0.001270,0,0.000000,-13.513514
26,0.001325,0,0.000000,-13.513514
27,0.001368,0,0.000000,-13.513514
28,0.001411,0,0.000000,-13.513514
29,0.001453,0,0.000000,-13.513514
30,0.001496,0,0.000000,-13.513514
31,0.001539,0,0.000000,-13.513514
32,0.001592,0,0.000000,-13.513514
33,0.001635,0,0.000000,-13.513514
34,0.001677,0,0.000000,-13.513514
35,0.001720,0,0.000000,-13.513514
36,0.001762,0,0.000000,-13.513514
37,0.001805,0,0.000000,-13.513514
38,0.001856,0,0.000000,-13.513514
39,0.001899,0,0.000000,-13.513514
40,0.001944,0,0.000000,-13.513514
41,0.001987,0,0.000000,-13.513514
42,0.002030,0,0.000000,-13.513514
43,0.002073,0,0.000000,-13.513514
44,0.002117,0,0.000000,-13.513514
45,0.002160,0,0.000000,-13.513514
46,0.002203,0,0.000000,-13.513514
47,0.002246,0,0.000000,-13.513514
48,0.002289,0,0.000000,-13.513514
49,0.002331,0,0.000000,-13.513514
50,0.002374,0,0.000000,-13.513514
51,0.002417,0,0.000000,-13.513514
52,0.002462,0,0.000000,-13.513514
53,0.002505,0,0.000000,-13.513514
54,0.002548,0,0.000000,-13.513514
55,0.002590,0,0.000000,-13.513514
56,0.002633,0,0.000000,-13.513514
57,0.002676,0,0.000000,-13.513514
58,0.002719,0,0.000000,-13.513514
59,0.002762,0,0.000000,-13.513514
